#	Season	Nation	Winners	Score	Runners-up	Nation	Venue	Att
1	1955–56	 Spain	Real Madrid	4–3	Reims	 France	France Parc des Princes, Paris	38,239
2	1956–57	 Spain	Real Madrid	2–0	Fiorentina	 Italy	Spain Santiago Bernabéu Stadium, Madrid	124,000
3	1957–58	 Spain	Real Madrid	3–2dagger	Milan	 Italy	Belgium Heysel Stadium, Brussels	67,000
4	1958–59	 Spain	Real Madrid	2–0	Reims	 France	West Germany Neckarstadion, Stuttgart	72,000
5	1959–60	 Spain	Real Madrid	7–3	Eintracht Frankfurt	 West Germany	Scotland Hampden Park, Glasgow	127,621
6	1960–61	 Portugal	Benfica	3–2	Barcelona	 Spain	Switzerland Wankdorf Stadium, Bern	26,732
7	1961–62	 Portugal	Benfica	5–3	Real Madrid	 Spain	Netherlands Olympisch Stadion, Amsterdam	61,257
8	1962–63	 Italy	Milan	2–1	Benfica	 Portugal	England Wembley Stadium, London	45,715
9	1963–64	 Italy	Internazionale	3–1	Real Madrid	 Spain	Austria Prater Stadium, Vienna	71,333
10	1964–65	 Italy	Internazionale	1–0	Benfica	 Portugal	Italy San Siro, Milan	89,000
11	1965–66	 Spain	Real Madrid	2–1	Partizan	 Yugoslavia	Belgium Heysel Stadium, Brussels	46,745
12	1966–67	 Scotland	Celtic	2–1	Internazionale	 Italy	Portugal Estádio Nacional, Lisbon	45,000
13	1967–68	 England	Manchester United	4–1dagger	Benfica	 Portugal	England Wembley Stadium, London	92,225
14	1968–69	 Italy	Milan	4–1	Ajax	 Netherlands	Spain Santiago Bernabéu Stadium, Madrid	31,782
15	1969–70	 Netherlands	Feyenoord	2–1dagger	Celtic	 Scotland	Italy San Siro, Milan	53,187
16	1970–71	 Netherlands	Ajax	2–0	Panathinaikos	 Greece	England Wembley Stadium, London	83,179
17	1971–72	 Netherlands	Ajax	2–0	Internazionale	 Italy	Netherlands De Kuip, Rotterdam	61,354
18	1972–73	 Netherlands	Ajax	1–0	Juventus	 Italy	Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade	89,484
19	1973–74	 West Germany	Bayern Munich	4–0&[A]	Atlético Madrid	 Spain	Belgium Heysel Stadium, Brussels	72,047
20	1974–75	 West Germany	Bayern Munich	2–0	Leeds United	 England	France Parc des Princes, Paris	48,374
21	1975–76	 West Germany	Bayern Munich	1–0	Saint-Étienne	 France	Scotland Hampden Park, Glasgow	54,864
22	1976–77	 England	Liverpool	3–1	Borussia Mönchengladbach	 West Germany	Italy Stadio Olimpico, Rome	57,000
23	1977–78	 England	Liverpool	1–0	Club Brugge	 Belgium	England Wembley Stadium, London	92,500
24	1978–79	 England	Nottingham Forest	1–0	Malmö FF	 Sweden	West Germany Olympiastadion, Munich	57,500
25	1979–80	 England	Nottingham Forest	1–0	Hamburg	 West Germany	Spain Santiago Bernabéu Stadium, Madrid	51,000
26	1980–81	 England	Liverpool	1–0	Real Madrid	 Spain	France Parc des Princes, Paris	48,360
27	1981–82	 England	Aston Villa	1–0	Bayern Munich	 West Germany	Netherlands De Kuip, Rotterdam	46,000
28	1982–83	 West Germany	Hamburg	1–0	Juventus	 Italy	Greece Olympic Stadium, Athens	73,500
29	1983–84	 England	Liverpool	1–1*[B]	Roma	 Italy	Italy Stadio Olimpico, Rome	69,693
30	1984–85	 Italy	Juventus	1–0	Liverpool	 England	Belgium Heysel Stadium, Brussels	58,000
